subject,context,objective_number,page,objective,top_confidence,top_score,top_resource,top_resource_path
Information Technology,SECTION 3: SOCIAL AND ECONOMIC IMPACT OF INFORMATION AND,2,19,assess the potential impact of computer systems misuse based on the main entities impacted;,high,12,"Notes\CSEC Hub\Evaluating Computer Systems for Different Needs Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md","Information Technology\Notes\CSEC Hub\Evaluating Computer Systems for Different Needs Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md"
Information Technology,SECTION 3: SOCIAL AND ECONOMIC IMPACT OF INFORMATION AND COMMUNICATIONS,3,20,describe suitable countermeasures to mitigate effects of identified threats;,medium,9,"Notes\CSEC Hub\Cybersecurity Threats Viruses, Malware, and Phishing.md","Information Technology\Notes\CSEC Hub\Cybersecurity Threats Viruses, Malware, and Phishing.md"
Information Technology,SECTION 3: SOCIAL AND ECONOMIC IMPACT OF INFORMATION AND COMMUNICATIONS,4,20,assess the effect of automation on job security;,medium,9,Notes\CSEC Hub\Personal Security Practices for Safe Computing.md,Information Technology\Notes\CSEC Hub\Personal Security Practices for Safe Computing.md
Information Technology,SECTION 3: SOCIAL AND ECONOMIC IMPACT OF INFORMATION AND COMMUNICATIONS,5,20,"describe the roles of various personnel in computer-related professions; and,",high,21,Notes\CSEC Hub\Computer-Related Professions Roles and Responsibilities.md,Information Technology\Notes\CSEC Hub\Computer-Related Professions Roles and Responsibilities.md
Information Technology,SECTION 3: SOCIAL AND ECONOMIC IMPACT OF INFORMATION AND COMMUNICATIONS,6,21,assess the impact of information and communications technology on select fields.,medium,6,"Notes\CSEC Hub\Database Terminology Tables, Records, and Fields Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md","Information Technology\Notes\CSEC Hub\Database Terminology Tables, Records, and Fields Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md"
Information Technology,SECTION 4: WORD-PROCESSING AND WEB PAGE DESIGN,1,23,create a document using content from a range of sources;,high,13,"Notes\CSEC Hub\Understanding Data Processing From Data to Information Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md","Information Technology\Notes\CSEC Hub\Understanding Data Processing From Data to Information Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md"
Information Technology,SECTION 4: WORD-PROCESSING AND WEB PAGE DESIGN,2,23,use appropriate document formatting features;,high,14,"Notes\CSEC Hub\Document Formatting Fonts, Styles, and Alignment Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md","Information Technology\Notes\CSEC Hub\Document Formatting Fonts, Styles, and Alignment Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md"
Information Technology,SECTION 4: WORD-PROCESSING AND WEB PAGE DESIGN,3,23,use appropriate editing features to structure and organize a document;,high,11,"Notes\CSEC Hub\Editing Techniques Search, Replace, and Block Operations Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md","Information Technology\Notes\CSEC Hub\Editing Techniques Search, Replace, and Block Operations Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md"
Information Technology,SECTION 4: WORD-PROCESSING AND WEB PAGE DESIGN,4,24,use the review feature of a word processor to enhance document readiness;,high,10,"Notes\CSEC Hub\Review Features Track Changes and Comments Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md","Information Technology\Notes\CSEC Hub\Review Features Track Changes and Comments Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md"
Information Technology,SECTION 4: WORD-PROCESSING AND WEB PAGE DESIGN,7,24,use mail merge feature in the preparation of a document for a variety of situations;,high,12,"Notes\CSEC Hub\Mail Merge Creating Personalized Documents CSEC IT Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md","Information Technology\Notes\CSEC Hub\Mail Merge Creating Personalized Documents CSEC IT Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md"
Information Technology,SECTION 4: WORD-PROCESSING AND WEB PAGE DESIGN,8,24,create a fillable electronic form for online use;,medium,9,"Notes\CSEC Hub\Algorithm Concepts Characteristics and Design CSEC IT Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md","Information Technology\Notes\CSEC Hub\Algorithm Concepts Characteristics and Design CSEC IT Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md"
Information Technology,SECTION 4: WORD-PROCESSING AND WEB PAGE DESIGN,10,24,create simple web pages using a variety of design features;,high,10,"Notes\CSEC Hub\Review Features Track Changes and Comments Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md","Information Technology\Notes\CSEC Hub\Review Features Track Changes and Comments Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md"
Information Technology,SECTION 4: WORD-PROCESSING AND WEB PAGE DESIGN,12,25,"evaluate a website for accuracy, user friendliness and effective display.",high,24,"Notes\CSEC Hub\Website Evaluation Accuracy and User-Friendliness Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md","Information Technology\Notes\CSEC Hub\Website Evaluation Accuracy and User-Friendliness Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md"
Information Technology,SECTION 5: SPREADSHEETS,1,26,explain the purpose of a spreadsheet;,high,11,"Notes\CSEC Hub\Introduction to Spreadsheets Purpose and Uses Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md","Information Technology\Notes\CSEC Hub\Introduction to Spreadsheets Purpose and Uses Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md"
Information Technology,SECTION 5: SPREADSHEETS,2,26,use appropriate terminologies and notions commonly associated with spreadsheets;,medium,5,"Notes\CSEC Hub\Introduction to Spreadsheets Purpose and Uses Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md","Information Technology\Notes\CSEC Hub\Introduction to Spreadsheets Purpose and Uses Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md"
Information Technology,SECTION 5: SPREADSHEETS,3,26,use basic pre-defined systems functions;,high,11,"Notes\CSEC Hub\Basic Functions SUM, AVERAGE, MAX, and MIN Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md","Information Technology\Notes\CSEC Hub\Basic Functions SUM, AVERAGE, MAX, and MIN Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md"
Information Technology,SECTION 5: SPREADSHEETS,4,26,create advanced arithmetic formulae;,medium,8,"Notes\CSEC Hub\Advanced Functions COUNTIF, VLOOKUP, and PMT Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md","Information Technology\Notes\CSEC Hub\Advanced Functions COUNTIF, VLOOKUP, and PMT Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md"
Information Technology,SECTION 5: SPREADSHEETS,6,26,manipulate columns and rows;,high,12,"Notes\CSEC Hub\Working with Rows and Columns Insert and Delete Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md","Information Technology\Notes\CSEC Hub\Working with Rows and Columns Insert and Delete Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md"
Information Technology,SECTION 5: SPREADSHEETS,7,26,manipulate data in a spreadsheet;,high,11,"Notes\CSEC Hub\Sorting and Filtering Data in Spreadsheets Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md","Information Technology\Notes\CSEC Hub\Sorting and Filtering Data in Spreadsheets Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md"
Information Technology,SECTION 5: SPREADSHEETS,8,27,"perform charting operations; and,",medium,7,"Notes\CSEC Hub\Introduction to Spreadsheets Purpose and Uses Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md","Information Technology\Notes\CSEC Hub\Introduction to Spreadsheets Purpose and Uses Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md"
Information Technology,SECTION 5: SPREADSHEETS,9,27,Manipulate one or more worksheets.,medium,7,"Notes\CSEC Hub\Introduction to Spreadsheets Purpose and Uses Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md","Information Technology\Notes\CSEC Hub\Introduction to Spreadsheets Purpose and Uses Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md"
Information Technology,SECTION 6: DATABASE MANAGEMENT,1,28,explain the concept of a database;,high,10,"Notes\CSEC Hub\Database Management Best Practices CSEC IT Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md","Information Technology\Notes\CSEC Hub\Database Management Best Practices CSEC IT Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md"
Information Technology,SECTION 6: DATABASE MANAGEMENT,2,28,use terminology commonly associated with a database;,high,10,"Notes\CSEC Hub\Database Terminology Tables, Records, and Fields Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md","Information Technology\Notes\CSEC Hub\Database Terminology Tables, Records, and Fields Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md"
Information Technology,SECTION 6: DATABASE MANAGEMENT,3,28,"create a database; and,",high,10,"Notes\CSEC Hub\Database Management Best Practices CSEC IT Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md","Information Technology\Notes\CSEC Hub\Database Management Best Practices CSEC IT Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md"
Information Technology,SECTION 6: DATABASE MANAGEMENT,4,28,manipulate data in a database.,high,11,"Notes\CSEC Hub\Database Management Best Practices CSEC IT Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md","Information Technology\Notes\CSEC Hub\Database Management Best Practices CSEC IT Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md"
Information Technology,SECTION 7: PROBLEM-SOLVING AND PROGRAM DESIGN,1,30,outline the steps in problem-solving;,high,16,"Notes\CSEC Hub\Steps in Problem Solving Define to Validate Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md","Information Technology\Notes\CSEC Hub\Steps in Problem Solving Define to Validate Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md"
Information Technology,SECTION 7: PROBLEM-SOLVING AND PROGRAM DESIGN,2,30,use the divide-and-conquer approach to decompose large everyday problems into smaller tasks;,high,24,"Notes\CSEC Hub\Divide and Conquer Breaking Down Complex Problems Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md","Information Technology\Notes\CSEC Hub\Divide and Conquer Breaking Down Complex Problems Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md"
Information Technology,SECTION 7: PROBLEM-SOLVING AND PROGRAM DESIGN,3,30,define a problem by decomposing it into its significant components;,high,17,"Notes\CSEC Hub\Steps in Problem Solving Define to Validate Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md","Information Technology\Notes\CSEC Hub\Steps in Problem Solving Define to Validate Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md"
Information Technology,SECTION 7: PROBLEM-SOLVING AND PROGRAM DESIGN,4,30,distinguish between variables and constants;,high,13,"Notes\CSEC Hub\Declaring Variables and Constants CSEC IT Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md","Information Technology\Notes\CSEC Hub\Declaring Variables and Constants CSEC IT Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md"
Information Technology,SECTION 7: PROBLEM-SOLVING AND PROGRAM DESIGN,5,31,explain the concept of algorithms;,high,12,"Notes\CSEC Hub\Steps in Problem Solving Define to Validate Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md","Information Technology\Notes\CSEC Hub\Steps in Problem Solving Define to Validate Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md"
Information Technology,SECTION 7: PROBLEM-SOLVING AND PROGRAM DESIGN,6,31,"represent algorithms in the form of flowchart and pseudocode; and,",high,13,"Notes\CSEC Hub\Steps in Problem Solving Define to Validate Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md","Information Technology\Notes\CSEC Hub\Steps in Problem Solving Define to Validate Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md"
Information Technology,SECTION 7: PROBLEM-SOLVING AND PROGRAM DESIGN,7,31,test algorithms for correctness.,high,13,"Notes\CSEC Hub\Steps in Problem Solving Define to Validate Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md","Information Technology\Notes\CSEC Hub\Steps in Problem Solving Define to Validate Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md"
Information Technology,SECTION 8: PROGRAM IMPLEMENTATION,1,33,distinguish between low-level and high- level programming languages;,high,16,"Notes\CSEC Hub\Low-Level vs. High-Level Languages Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md","Information Technology\Notes\CSEC Hub\Low-Level vs. High-Level Languages Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md"
Information Technology,SECTION 8: PROGRAM IMPLEMENTATION,2,33,describe the sequence of steps in implementing a program;,high,15,"Notes\CSEC Hub\Steps in Program Implementation Code to Maintenance Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md","Information Technology\Notes\CSEC Hub\Steps in Program Implementation Code to Maintenance Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md"
Information Technology,SECTION 8: PROGRAM IMPLEMENTATION,3,33,perform checks and tests on programs to verify correctness;,high,13,"Notes\CSEC Hub\Steps in Program Implementation Code to Maintenance Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md","Information Technology\Notes\CSEC Hub\Steps in Program Implementation Code to Maintenance Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md"
Information Technology,SECTION 8: PROGRAM IMPLEMENTATION,5,33,"translate algorithmic statements into high-level language syntax; and,",high,16,"Notes\CSEC Hub\Steps in Program Implementation Code to Maintenance Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md","Information Technology\Notes\CSEC Hub\Steps in Program Implementation Code to Maintenance Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md"
Integrated Science,TOPIC 1: UNITS OF LIFE,1.1,18,"analyse the processes of diffusion, osmosis and active transport;",medium,8,Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json,Integrated Science\Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json
Integrated Science,TOPIC 1: UNITS OF LIFE,1.2,19,examine animal and plant cells.,medium,6,Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json,Integrated Science\Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json
Integrated Science,TOPIC 2: REPRODUCTION AND GROWTH IN PLANTS,2.1,20,distinguish between asexual and sexual reproduction;,medium,5,Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json,Integrated Science\Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json
Integrated Science,TOPIC 2: REPRODUCTION AND GROWTH IN PLANTS,2.2,20,examine various methods of asexual reproduction in plants;,medium,5,Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json,Integrated Science\Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json
Integrated Science,TOPIC 2: REPRODUCTION AND GROWTH IN PLANTS,2.3,21,examine the process of sexual reproduction in plants;,low,4,Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json,Integrated Science\Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json
Integrated Science,TOPIC 2: REPRODUCTION AND GROWTH IN PLANTS,2.4,21,analyse growth patterns in plants;,low,4,Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json,Integrated Science\Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json
Integrated Science,TOPIC 2: REPRODUCTION AND GROWTH IN PLANTS,2.5,21,describe the methods used in the production of crops;,medium,8,Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json,Integrated Science\Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json
Integrated Science,TOPIC 2: REPRODUCTION AND GROWTH IN PLANTS,2.7,22,evaluate the impact of soil erosion on food production.,medium,9,Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json,Integrated Science\Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json
Integrated Science,TOPIC 3: REPRODUCTION AND GROWTH IN ANIMALS,3.1,23,outline various methods of asexual reproduction in animals;,medium,5,Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json,Integrated Science\Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json
Integrated Science,TOPIC 3: REPRODUCTION AND GROWTH IN ANIMALS,3.2,24,describe the structure and function of the sexual reproductive organs in humans;,medium,7,Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json,Integrated Science\Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json
Integrated Science,TOPIC 3: REPRODUCTION AND GROWTH IN ANIMALS,3.3,25,analyse the menstrual cycle in humans;,medium,6,Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json,Integrated Science\Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json
Integrated Science,TOPIC 3: REPRODUCTION AND GROWTH IN ANIMALS,3.4,25,discuss the stages of pregnancy;,medium,6,Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json,Integrated Science\Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json
Integrated Science,TOPIC 3: REPRODUCTION AND GROWTH IN ANIMALS,3.5,26,discuss the methods of birth control;,medium,7,Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json,Integrated Science\Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json
Integrated Science,TOPIC 3: REPRODUCTION AND GROWTH IN ANIMALS,3.6,26,assess the importance of pre-natal and post-natal care of mothers and babies;,medium,5,Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json,Integrated Science\Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json
Integrated Science,TOPIC 3: REPRODUCTION AND GROWTH IN ANIMALS,3.7,26,"compare growth patterns of males and females; and,",low,4,Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json,Integrated Science\Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json
Integrated Science,TOPIC 3: REPRODUCTION AND GROWTH IN ANIMALS,3.8,26,discuss the need for human population control.,medium,7,Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json,Integrated Science\Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json
Integrated Science,TOPIC 4: TRANSPORT SYSTEMS,4.1,27,justify the need for transport systems within a living organism;,medium,7,Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json,Integrated Science\Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json
Integrated Science,TOPIC 4: TRANSPORT SYSTEMS,4.3,28,distinguish among the different blood groups.,low,4,Notes\KCR Science\7. body systems.pdf,Integrated Science\Notes\KCR Science\7. body systems.pdf
Integrated Science,TOPIC 5: EXCRETION,5.1,28,distinguish between excretion and egestion;,low,4,Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json,Integrated Science\Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json
Integrated Science,TOPIC 5: EXCRETION,5.2,29,"explain the mechanism of excretion by the lungs, skin and kidneys in humans; and,",medium,5,Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json,Integrated Science\Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json
Integrated Science,TOPIC 5: EXCRETION,5.3,29,identify the methods of excretion in flowering plants.,low,4,Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json,Integrated Science\Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json
Integrated Science,TOPIC 6: SENSE ORGANS AND COORDINATION,6.1,30,describe the sense organs and their functions;,low,3,Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json,Integrated Science\Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json
Integrated Science,TOPIC 6: SENSE ORGANS AND COORDINATION,6.3,31,analyse sight defects;,low,3,Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json,Integrated Science\Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json
Integrated Science,TOPIC 7: HEALTH,7.1,34,discuss selected microbes;,low,2,Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json,Integrated Science\Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json
Integrated Science,TOPIC 7: HEALTH,7.2,34,discuss communicable/infectious disease;,low,3,Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json,Integrated Science\Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json
Integrated Science,TOPIC 7: HEALTH,7.3,34,outline how the principles of immunisation are used in the control of communicable/infectio us diseases;,medium,5,Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json,Integrated Science\Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json
Integrated Science,TOPIC 7: HEALTH,7.4,35,discuss non- communicable/infectio us diseases;,low,3,Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json,Integrated Science\Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json
Integrated Science,TOPIC 7: HEALTH,7.5,35,examine the physiological effects of exercise;,low,2,Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json,Integrated Science\Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json
Integrated Science,TOPIC 7: HEALTH,7.6,36,evaluate the effects of drug use;,low,3,Notes\Miss Francois\Miss Francois Integrated Science Index.md,Integrated Science\Notes\Miss Francois\Miss Francois Integrated Science Index.md
Integrated Science,TOPIC 7: HEALTH,7.7,36,discuss the importance of practising good personal hygiene;,medium,5,Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json,Integrated Science\Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json
Integrated Science,TOPIC 7: HEALTH,7.8,36,discuss conditios that encourage the breeding of household pests and parasites;,medium,8,Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json,Integrated Science\Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json
Integrated Science,TOPIC 7: HEALTH,7.10,37,describe various types of food contaminants;,medium,5,Notes\Miss Francois\HSB Note-Food Chains and Food Webs - Miss Francois.md,Integrated Science\Notes\Miss Francois\HSB Note-Food Chains and Food Webs - Miss Francois.md
Integrated Science,TOPIC 7: HEALTH,7.11,37,"determine conditions which promote the growth of microorganisms; and,",medium,7,Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json,Integrated Science\Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json
Integrated Science,TOPIC 7: HEALTH,7.12,38,apply the principles used in food preservation.,medium,5,Notes\Miss Francois\HSB Note-Food Chains and Food Webs - Miss Francois.md,Integrated Science\Notes\Miss Francois\HSB Note-Food Chains and Food Webs - Miss Francois.md
Integrated Science,TOPIC 1: CONSERVATION OF ENERGY,1.1,43,explain the concept of energy;,low,3,Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json,Integrated Science\Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json
Integrated Science,TOPIC 1: CONSERVATION OF ENERGY,1.2,43,discuss the inter- conversion and conservation of mass energy;,medium,5,Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json,Integrated Science\Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json
Integrated Science,TOPIC 1: CONSERVATION OF ENERGY,1.3,44,"examine the role of photosynthesis in the conversion of energy; and,",medium,6,Notes\Miss Francois\HSB Note-Photosynthesis - Miss Francois.md,Integrated Science\Notes\Miss Francois\HSB Note-Photosynthesis - Miss Francois.md
Integrated Science,TOPIC 1: CONSERVATION OF ENERGY,1.4,45,analyse the transfer of energy in the environment.,medium,5,Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json,Integrated Science\Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json
Integrated Science,TOPIC 2: ENERGY IN LIFE PROCESSES,2.1,46,examine the importance of food as a source of energy;,medium,7,Notes\Miss Francois\HSB Note-Food Chains and Food Webs - Miss Francois.md,Integrated Science\Notes\Miss Francois\HSB Note-Food Chains and Food Webs - Miss Francois.md
Integrated Science,TOPIC 2: ENERGY IN LIFE PROCESSES,2.2,46,examine the process of digestion in humans;,medium,5,Notes\Miss Francois\HSB Notes-Digestion - Miss Francois.md,Integrated Science\Notes\Miss Francois\HSB Notes-Digestion - Miss Francois.md
Integrated Science,TOPIC 2: ENERGY IN LIFE PROCESSES,2.4,48,evaluate the importance of respiration in providing energy to organisms;,medium,7,Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json,Integrated Science\Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json
Integrated Science,TOPIC 2: ENERGY IN LIFE PROCESSES,2.5,48,distinguish between aerobic and anaerobic respiration;,medium,7,Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json,Integrated Science\Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json
Integrated Science,TOPIC 2: ENERGY IN LIFE PROCESSES,2.6,48,examine the mechanism of breathing;,medium,6,Notes\Miss Francois\HSB Note-Respiration and Breathing - Miss Francois.md,Integrated Science\Notes\Miss Francois\HSB Note-Respiration and Breathing - Miss Francois.md
Integrated Science,TOPIC 2: ENERGY IN LIFE PROCESSES,2.7,49,"explain the importance of gaseous exchange in organisms; and,",medium,6,Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json,Integrated Science\Practice Questions\Kerwin Springer\CSEC Integrated Science MCQ Question Bank - Kerwin Springer.json
